,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over
2157,1400000US26125154100,"Census Tract 1541, Oakland County, Michigan",0,0,0,0,0,0,0,0,13,27,70,61,163,0,0,0,0,0,0,0,0,13,0,65,85,269,0,0,0,34,0,0,0,0,32,24,27,152
387,1400000US26125154200,"Census Tract 1542, Oakland County, Michigan",0,46,32,23,0,0,0,11,37,19,0,53,174,0,0,16,35,0,0,45,0,42,19,0,17,119,0,9,28,0,0,0,0,0,41,26,0,15
747,1400000US26125154500,"Census Tract 1545, Oakland County, Michigan",0,0,0,0,0,0,0,0,23,15,43,79,83,0,0,0,0,10,0,0,0,0,18,0,55,224,0,0,0,0,4,0,0,0,26,23,44,127
2158,1400000US26125154600,"Census Tract 1546, Oakland County, Michigan",0,7,0,0,0,0,0,0,0,24,76,131,192,0,7,0,0,5,0,0,0,8,10,19,143,374,11,19,0,4,8,0,8,0,23,38,53,210
1028,1400000US26125156000,"Census Tract 1560, Oakland County, Michigan",0,0,0,31,9,0,0,0,38,7,15,78,139,0,29,0,0,0,0,0,0,42,0,14,54,202,0,0,0,56,0,0,0,0,45,0,31,70
744,1400000US26125156100,"Census Tract 1561, Oakland County, Michigan",0,0,0,0,0,19,0,21,20,36,75,144,284,0,0,0,8,0,0,0,20,10,15,119,112,393,0,0,0,0,12,21,0,21,37,0,36,266
1018,1400000US26125156200,"Census Tract 1562, Oakland County, Michigan",16,0,53,0,0,0,34,30,98,41,131,183,471,0,0,0,0,0,0,12,0,87,0,117,255,538,27,0,0,0,0,0,0,0,43,31,187,250
2159,1400000US26125156300,"Census Tract 1563, Oakland County, Michigan",0,13,0,30,0,0,0,0,19,38,20,134,402,25,0,0,62,0,0,0,0,54,0,26,235,374,21,14,0,0,0,0,0,0,30,0,106,203
892,1400000US26125156400,"Census Tract 1564, Oakland County, Michigan",0,0,0,0,0,0,0,0,34,23,15,80,325,7,0,0,0,0,0,0,0,0,43,0,275,292,7,0,0,0,0,0,0,0,24,39,26,196
1021,1400000US26125156500,"Census Tract 1565, Oakland County, Michigan",0,0,0,0,6,0,0,13,0,85,61,96,273,0,15,0,23,0,0,0,23,33,64,0,115,417,13,0,0,50,0,0,0,11,56,96,37,154
1497,1400000US26125156900,"Census Tract 1569, Oakland County, Michigan",0,0,0,0,0,0,0,0,0,0,143,185,239,17,0,0,0,0,0,0,0,25,32,122,43,239,0,0,0,0,0,0,0,0,51,23,0,165
1655,1400000US26125157000,"Census Tract 1570, Oakland County, Michigan",0,0,14,0,0,0,0,0,5,28,17,58,162,0,0,7,0,0,0,7,0,22,44,7,75,287,0,0,0,0,12,0,7,5,22,66,27,148
1498,1400000US26125157100,"Census Tract 1571, Oakland County, Michigan",0,0,6,0,28,0,0,0,20,29,4,26,159,0,0,12,0,14,0,0,0,0,17,11,105,109,0,0,0,0,0,0,0,0,3,13,56,37
388,1400000US26125157200,"Census Tract 1572, Oakland County, Michigan",0,146,0,0,88,0,0,7,36,0,14,59,234,28,0,30,7,43,0,7,0,67,9,0,43,349,20,0,47,8,43,10,8,28,35,24,23,103
1520,1400000US26125157300,"Census Tract 1573, Oakland County, Michigan",10,0,0,0,0,0,0,0,47,16,17,58,235,0,0,0,0,0,29,0,0,60,11,13,122,153,0,0,0,0,13,20,0,0,0,9,0,111
389,1400000US26125157400,"Census Tract 1574, Oakland County, Michigan",0,0,0,0,23,8,0,0,32,67,0,132,180,0,0,0,0,0,6,0,0,20,93,0,61,99,0,0,0,0,0,14,0,0,12,10,20,43
1662,1400000US26125157500,"Census Tract 1575, Oakland County, Michigan",0,0,0,0,0,0,0,0,0,14,9,64,107,0,0,0,0,0,0,0,0,0,39,0,68,330,12,0,0,0,24,0,0,13,174,17,42,48
1010,1400000US26125157600,"Census Tract 1576, Oakland County, Michigan",0,20,53,0,0,0,0,27,28,96,28,98,284,0,10,0,0,12,0,28,8,49,59,25,93,382,18,0,0,0,106,0,15,14,39,35,53,102
390,1400000US26125157700,"Census Tract 1577, Oakland County, Michigan",0,0,37,0,0,0,0,0,6,11,0,56,83,0,0,20,0,0,0,0,0,0,7,0,56,199,13,0,0,0,0,0,0,0,34,20,58,74
748,1400000US26125157800,"Census Tract 1578, Oakland County, Michigan",28,0,0,0,0,0,0,0,0,13,0,91,76,0,0,0,0,0,0,0,0,0,13,0,63,187,36,0,0,0,0,0,0,11,15,0,11,114
749,1400000US26125157900,"Census Tract 1579, Oakland County, Michigan",0,13,8,24,0,0,0,0,55,0,13,58,183,0,24,0,11,0,8,0,0,30,25,12,73,226,5,19,0,6,0,0,0,0,25,29,20,122
1663,1400000US26125158000,"Census Tract 1580, Oakland County, Michigan",0,0,0,0,0,0,0,0,0,0,27,182,319,0,0,0,0,0,94,0,0,27,20,24,154,459,9,0,0,13,0,0,0,0,41,157,11,228
1660,1400000US26125158100,"Census Tract 1581, Oakland County, Michigan",0,0,0,0,0,0,0,0,11,21,18,141,315,0,0,0,0,0,0,0,0,47,20,0,248,309,0,0,0,0,42,0,17,18,51,60,0,121
1664,1400000US26125158200,"Census Tract 1582, Oakland County, Michigan",0,0,0,0,0,0,0,0,9,27,33,162,221,0,0,0,0,0,0,0,0,0,18,71,132,244,0,0,0,0,0,0,0,22,0,18,0,204
2782,1400000US26125159000,"Census Tract 1590, Oakland County, Michigan",0,0,0,0,0,0,0,0,20,15,72,120,421,0,0,5,5,0,0,0,6,3,0,101,301,437,27,0,10,0,0,21,0,11,90,6,15,257
893,1400000US26125160000,"Census Tract 1600, Oakland County, Michigan",0,0,14,0,0,0,0,0,51,17,91,0,252,62,0,0,0,41,0,0,0,25,34,68,22,303,0,0,15,0,14,0,0,0,0,43,68,163
1665,1400000US26125160300,"Census Tract 1603, Oakland County, Michigan",74,0,0,0,0,0,18,0,60,0,0,27,80,7,0,0,20,9,0,0,26,18,0,0,0,88,0,9,0,48,0,0,0,0,0,31,0,0
631,1400000US26125160400,"Census Tract 1604, Oakland County, Michigan",0,63,0,0,51,0,11,0,0,32,2,0,211,0,0,0,33,9,0,0,29,8,25,93,14,168,0,30,0,0,74,0,0,0,0,55,9,0
1499,1400000US26125160500,"Census Tract 1605, Oakland County, Michigan",10,0,0,0,34,0,0,33,17,0,10,57,375,37,40,0,8,99,11,0,22,78,40,20,20,395,10,0,0,8,31,0,0,11,134,49,81,71
750,1400000US26125160600,"Census Tract 1606, Oakland County, Michigan",23,0,186,0,40,0,0,0,25,0,28,121,352,12,0,90,22,24,0,0,0,25,88,38,53,262,26,0,0,0,27,0,0,0,26,11,97,75
35,1400000US26125160700,"Census Tract 1607, Oakland County, Michigan",0,0,5,19,0,0,0,0,21,11,12,4,84,0,0,0,19,0,0,0,6,0,25,5,29,171,0,4,0,0,0,0,0,6,23,40,34,64
894,1400000US26125160800,"Census Tract 1608, Oakland County, Michigan",0,0,0,0,0,0,0,40,32,24,70,0,166,0,0,0,19,0,0,0,0,60,9,8,70,215,0,0,0,10,14,0,0,0,35,0,49,107
895,1400000US26125160900,"Census Tract 1609, Oakland County, Michigan",0,26,0,0,0,76,0,0,75,0,22,55,274,0,24,0,0,0,0,51,0,70,68,21,40,190,0,0,0,0,119,0,26,0,0,25,20,0
1521,1400000US26125161000,"Census Tract 1610, Oakland County, Michigan",0,0,0,19,0,0,0,0,0,0,25,0,27,0,0,0,0,0,0,0,0,10,6,11,0,136,0,0,0,0,0,21,0,0,66,14,35,0
36,1400000US26125161100,"Census Tract 1611, Oakland County, Michigan",0,0,0,0,0,0,23,0,0,0,50,0,118,0,0,0,0,0,0,0,0,51,0,67,0,167,0,0,0,0,0,17,0,0,97,20,14,19
845,1400000US26125161200,"Census Tract 1612, Oakland County, Michigan",28,12,0,0,0,0,0,0,51,68,37,71,285,36,0,0,10,0,1,0,17,55,13,62,91,354,0,23,0,10,10,56,0,17,104,83,22,29
1523,1400000US26125161300,"Census Tract 1613, Oakland County, Michigan",0,0,0,0,29,0,0,0,35,30,13,0,185,36,0,0,30,0,0,0,42,15,0,53,9,363,18,0,6,0,106,0,0,42,147,20,0,24
632,1400000US26125161400,"Census Tract 1614, Oakland County, Michigan",0,28,19,95,0,0,0,0,67,46,135,5,321,0,9,16,46,26,0,0,0,84,27,96,17,192,10,0,6,10,0,14,8,0,36,17,23,68
1031,1400000US26125161500,"Census Tract 1615, Oakland County, Michigan",0,0,0,0,19,20,0,6,23,45,51,16,130,0,0,0,0,18,0,0,18,0,63,5,26,65,0,0,0,0,0,0,0,0,9,17,24,15
1666,1400000US26125161600,"Census Tract 1616, Oakland County, Michigan",0,0,0,59,0,0,0,0,13,50,24,32,89,11,0,0,23,0,0,0,0,28,19,0,8,144,12,0,0,11,0,0,0,0,4,52,0,65
896,1400000US26125161700,"Census Tract 1617, Oakland County, Michigan",0,0,0,0,0,0,47,0,50,21,0,0,239,0,0,0,13,11,0,46,0,51,66,0,52,189,0,18,0,13,49,0,0,0,69,14,14,12
1500,1400000US26125161800,"Census Tract 1618, Oakland County, Michigan",34,56,0,18,0,0,0,0,25,36,25,15,399,0,15,46,18,24,0,0,13,135,19,46,83,465,0,0,95,12,29,12,0,0,133,70,39,75
37,1400000US26125161900,"Census Tract 1619, Oakland County, Michigan",0,0,0,0,0,0,0,0,5,6,18,7,64,0,0,0,0,6,0,0,0,19,27,0,12,96,0,0,0,0,0,0,0,0,26,7,19,44
633,1400000US26125162000,"Census Tract 1620, Oakland County, Michigan",0,21,0,0,29,0,0,8,139,42,33,0,264,58,14,0,8,23,0,0,14,52,23,72,0,242,36,0,18,0,20,0,0,21,70,21,17,39
1013,1400000US26125162100,"Census Tract 1621, Oakland County, Michigan",0,0,25,8,0,0,27,0,51,4,18,0,123,0,8,0,0,0,33,0,0,29,35,18,0,261,55,0,0,29,0,40,0,0,58,73,0,6
1524,1400000US26125162200,"Census Tract 1622, Oakland County, Michigan",0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,85,0,0,0,0,0,17,0,0,62,6,0,0
897,1400000US26125162300,"Census Tract 1623, Oakland County, Michigan",0,0,58,0,0,0,0,0,48,13,73,56,229,0,0,0,32,0,0,0,0,41,49,78,29,289,0,0,14,11,11,0,0,0,0,73,91,89
630,1400000US26125162400,"Census Tract 1624, Oakland County, Michigan",16,44,9,0,0,68,0,0,32,46,12,8,165,0,30,8,6,0,58,0,0,16,28,12,7,190,6,57,16,3,0,36,14,0,34,12,8,4
1501,1400000US26125162500,"Census Tract 1625, Oakland County, Michigan",0,0,50,39,0,60,0,0,0,75,0,0,258,50,0,0,0,0,30,0,0,0,25,153,0,142,53,0,0,63,0,0,0,12,14,0,0,0
634,1400000US26125165000,"Census Tract 1650, Oakland County, Michigan",0,0,0,0,0,0,0,42,64,32,21,0,186,64,0,0,0,0,0,0,13,28,30,0,51,263,101,0,0,0,0,8,8,0,0,81,15,50
898,1400000US26125165100,"Census Tract 1651, Oakland County, Michigan",0,0,0,0,0,32,0,12,23,95,41,33,209,0,0,0,0,0,0,0,0,34,62,63,50,333,0,0,0,25,0,21,28,31,9,92,0,127
1525,1400000US26125165200,"Census Tract 1652, Oakland County, Michigan",0,0,22,0,0,5,59,0,25,106,35,115,214,0,0,18,0,0,4,0,0,39,61,0,92,169,0,0,0,0,37,5,0,0,0,33,9,85
1667,1400000US26125166000,"Census Tract 1660, Oakland County, Michigan",0,0,0,0,0,0,8,0,12,16,25,52,89,0,0,0,0,0,0,0,7,12,8,14,48,221,2,0,0,0,27,0,0,7,12,33,36,104
635,1400000US26125166100,"Census Tract 1661, Oakland County, Michigan",0,0,0,0,0,0,0,0,108,26,12,90,155,0,0,0,36,0,0,0,0,0,23,27,69,231,0,0,0,37,0,0,0,0,0,111,46,37
391,1400000US26125166200,"Census Tract 1662, Oakland County, Michigan",0,73,0,0,0,0,0,0,22,54,56,32,212,0,68,0,0,0,0,0,0,21,37,49,37,333,0,34,0,11,11,0,0,0,0,43,42,192
1011,1400000US26125166400,"Census Tract 1664, Oakland County, Michigan",0,0,0,0,4,0,0,0,41,35,16,70,164,0,0,0,0,0,0,0,0,11,11,23,119,373,12,0,0,0,14,29,0,0,25,42,48,203
1022,1400000US26125166500,"Census Tract 1665, Oakland County, Michigan",0,8,0,0,0,0,0,0,15,0,45,75,196,0,5,7,0,0,0,0,0,27,8,68,81,124,0,0,0,0,8,0,0,0,36,22,30,28
1668,1400000US26125166600,"Census Tract 1666, Oakland County, Michigan",0,0,0,23,0,0,0,0,70,93,0,8,191,14,24,0,7,0,10,0,0,47,71,0,18,213,0,0,8,0,0,8,0,9,67,55,60,6
38,1400000US26125166700,"Census Tract 1667, Oakland County, Michigan",0,0,0,0,4,0,0,0,0,35,10,60,134,8,0,0,0,0,0,0,0,6,0,42,78,174,18,0,0,0,0,0,0,5,31,0,24,96
1502,1400000US26125166800,"Census Tract 1668, Oakland County, Michigan",0,0,0,0,0,0,0,0,0,16,9,148,304,0,0,0,10,0,0,22,0,23,15,58,176,319,19,21,0,0,41,0,21,0,44,19,39,115
1503,1400000US26125166900,"Census Tract 1669, Oakland County, Michigan",0,0,0,0,0,0,0,0,49,30,37,163,164,0,0,0,0,0,7,0,0,13,19,36,89,223,11,0,0,0,0,10,0,0,23,123,34,22
899,1400000US26125167000,"Census Tract 1670, Oakland County, Michigan",9,0,0,0,0,0,0,0,41,71,177,198,291,0,0,0,0,0,12,0,0,21,28,80,150,254,12,0,0,0,0,12,0,0,0,17,30,183
1504,1400000US26125167300,"Census Tract 1673, Oakland County, Michigan",39,0,11,0,0,41,0,0,48,43,0,13,173,10,0,0,0,0,44,0,0,56,13,0,50,266,24,0,0,0,85,13,9,0,32,34,28,41
1032,1400000US26125167400,"Census Tract 1674, Oakland County, Michigan",0,78,15,45,0,36,0,0,53,14,7,36,489,45,109,0,60,0,36,14,0,149,63,0,13,361,47,55,0,33,97,11,0,0,41,65,0,12
636,1400000US26125167500,"Census Tract 1675, Oakland County, Michigan",0,0,0,0,13,27,0,0,84,119,50,39,345,0,0,0,0,12,48,0,0,46,88,33,118,509,13,0,98,0,0,0,0,0,112,119,38,129
1669,1400000US26125167800,"Census Tract 1678, Oakland County, Michigan",0,0,0,14,0,27,0,0,58,106,64,63,398,0,0,19,0,0,0,0,0,14,0,40,325,204,0,0,0,0,0,0,0,0,0,73,0,131
900,1400000US26125167900,"Census Tract 1679, Oakland County, Michigan",0,0,0,0,0,0,0,0,0,0,0,121,190,0,0,0,0,0,0,0,0,21,0,1,168,136,0,0,0,0,42,0,0,0,0,13,2,79
1505,1400000US26125168100,"Census Tract 1681, Oakland County, Michigan",0,0,0,0,0,0,0,0,17,0,19,73,171,0,0,0,0,14,0,0,0,11,14,25,107,229,0,0,0,0,46,0,0,0,25,9,29,120
910,1400000US26125168400,"Census Tract 1684, Oakland County, Michigan",0,0,0,0,0,0,0,0,0,89,53,136,273,0,0,0,0,0,0,0,0,0,73,21,179,338,0,0,0,0,0,0,0,0,0,0,47,291
1023,1400000US26125168500,"Census Tract 1685, Oakland County, Michigan",0,0,0,0,0,0,0,0,0,20,0,18,141,0,0,0,0,0,0,0,0,17,62,0,62,153,23,0,0,0,0,0,0,0,55,0,0,75
39,1400000US26125168600,"Census Tract 1686, Oakland County, Michigan",0,0,0,0,15,0,0,0,114,46,111,86,247,0,0,0,58,0,0,42,19,0,15,16,97,360,0,0,0,0,21,0,14,0,0,41,125,159
1943,1400000US26125168700,"Census Tract 1687, Oakland County, Michigan",0,0,0,0,0,0,0,0,19,32,37,102,238,0,0,52,0,0,29,0,0,42,7,9,99,311,0,0,0,0,0,11,0,26,16,38,14,206
1944,1400000US26125168800,"Census Tract 1688, Oakland County, Michigan",0,0,15,0,0,0,7,0,10,26,16,73,208,0,0,0,0,0,0,11,0,5,24,19,149,171,0,0,31,3,0,0,0,0,6,18,31,82
1945,1400000US26125168900,"Census Tract 1689, Oakland County, Michigan",0,0,0,0,0,0,0,0,67,72,170,12,141,0,41,14,0,0,0,0,0,18,44,0,24,35,0,0,0,0,0,0,0,0,0,35,0,0
40,1400000US26125170000,"Census Tract 1700, Oakland County, Michigan",0,0,0,7,0,0,0,0,17,16,23,69,173,0,0,0,13,0,17,0,0,29,8,56,50,145,0,0,0,0,16,16,0,0,6,9,25,73
637,1400000US26125170100,"Census Tract 1701, Oakland County, Michigan",0,0,0,0,0,0,0,8,29,62,28,53,134,0,13,0,0,0,0,0,0,25,36,0,60,284,0,13,0,0,58,0,36,21,12,100,22,22
909,1400000US26125170200,"Census Tract 1702, Oakland County, Michigan",0,0,11,11,0,0,0,0,48,90,46,162,190,0,1,10,3,0,0,0,0,29,43,66,38,271,0,2,0,0,0,0,9,14,64,54,25,103
901,1400000US26125170300,"Census Tract 1703, Oakland County, Michigan",0,0,0,0,0,35,0,18,0,108,76,67,152,15,0,8,0,0,12,0,0,9,10,39,59,154,8,0,17,0,0,0,0,0,22,44,20,43
676,1400000US26125170400,"Census Tract 1704, Oakland County, Michigan",0,0,0,0,0,0,0,0,10,38,20,93,328,8,0,0,0,0,0,0,0,32,114,55,119,230,16,32,0,0,0,0,0,0,62,26,44,50
902,1400000US26125171000,"Census Tract 1710, Oakland County, Michigan",63,81,0,0,57,25,0,0,32,16,41,0,412,154,24,0,0,62,97,0,0,45,9,10,11,185,23,0,26,0,0,0,0,0,49,43,26,18
1014,1400000US26125171100,"Census Tract 1711, Oakland County, Michigan",0,0,11,0,11,0,0,5,45,12,61,28,203,0,0,0,0,0,5,0,0,10,57,57,74,105,0,0,0,0,0,4,0,0,11,25,22,43
1506,1400000US26125171200,"Census Tract 1712, Oakland County, Michigan",21,0,13,0,18,14,0,0,33,10,27,11,166,21,0,0,10,23,29,0,0,9,21,46,7,178,0,0,0,0,32,30,0,0,27,47,42,0
903,1400000US26125171300,"Census Tract 1713, Oakland County, Michigan",14,0,23,0,78,5,0,0,89,31,0,0,291,20,0,0,78,46,5,5,10,28,46,41,12,285,26,0,0,48,0,0,6,0,36,50,95,24
846,1400000US26125171400,"Census Tract 1714, Oakland County, Michigan",36,58,0,0,147,64,0,81,196,104,0,21,447,17,16,0,25,40,91,0,80,10,168,0,0,587,0,123,0,25,95,61,0,0,76,144,39,24
847,1400000US26125171500,"Census Tract 1715, Oakland County, Michigan",0,37,0,21,0,18,15,35,35,76,12,0,490,13,22,34,120,0,59,0,128,44,32,13,25,442,80,45,74,57,24,18,0,80,12,20,24,8
677,1400000US26125171600,"Census Tract 1716, Oakland County, Michigan",0,26,0,18,7,12,0,0,13,7,7,4,229,25,13,35,0,81,55,0,12,0,0,8,0,203,76,7,40,8,21,15,0,0,0,17,19,0
1507,1400000US26125172400,"Census Tract 1724, Oakland County, Michigan",0,0,44,50,0,0,0,0,0,0,0,0,86,0,0,0,30,0,0,36,0,9,0,0,11,61,0,0,0,0,0,38,0,0,10,13,0,0
911,1400000US26125172500,"Census Tract 1725, Oakland County, Michigan",90,0,9,57,21,0,38,6,75,7,0,5,117,80,0,18,12,0,0,0,0,0,7,0,0,142,21,5,17,20,0,9,0,0,48,22,0,0
638,1400000US26125173000,"Census Tract 1730, Oakland County, Michigan",0,25,0,17,0,0,0,0,0,0,0,48,74,0,26,0,0,0,0,0,0,22,10,16,0,150,25,0,46,0,0,0,0,19,18,0,42,0
41,1400000US26125173100,"Census Tract 1731, Oakland County, Michigan",0,0,0,0,11,0,11,0,17,7,6,19,37,0,0,0,4,0,0,0,0,9,24,0,0,28,0,0,0,0,5,0,0,0,8,11,4,0
1508,1400000US26125173200,"Census Tract 1732, Oakland County, Michigan",0,0,0,0,0,0,0,0,0,11,32,98,59,0,0,0,0,0,0,0,0,0,23,10,26,108,0,22,0,0,0,0,0,0,0,0,10,76
848,1400000US26125173300,"Census Tract 1733, Oakland County, Michigan",0,0,0,0,0,0,0,11,20,6,40,38,33,0,0,3,0,0,0,0,10,9,0,0,11,66,11,0,7,0,0,8,0,0,20,0,5,15
42,1400000US26125173400,"Census Tract 1734, Oakland County, Michigan",58,0,0,0,160,0,0,0,108,59,0,118,147,0,0,20,0,48,0,0,22,0,57,0,0,97,0,0,0,0,0,0,0,35,25,0,37,0
678,1400000US26125173500,"Census Tract 1735, Oakland County, Michigan",0,0,0,0,23,0,0,15,0,0,16,47,63,0,63,0,0,0,0,0,0,0,0,0,0,105,0,61,16,0,0,0,0,0,10,0,0,18
1033,1400000US26125173600,"Census Tract 1736, Oakland County, Michigan",17,4,0,0,0,3,0,0,7,0,9,6,76,17,4,0,5,0,6,6,0,22,11,5,0,81,0,4,0,5,0,3,12,0,26,28,0,3
682,1400000US26125175000,"Census Tract 1750, Oakland County, Michigan",0,0,17,40,0,0,0,0,17,0,0,35,177,0,0,0,49,0,0,0,8,13,49,0,58,211,0,0,0,9,0,0,0,13,141,48,0,0
639,1400000US26125175100,"Census Tract 1751, Oakland County, Michigan",118,20,47,16,15,0,0,0,28,0,19,0,411,27,0,0,0,0,0,0,38,175,171,0,0,537,67,0,97,0,0,20,35,12,224,21,0,61
683,1400000US26125175200,"Census Tract 1752, Oakland County, Michigan",88,0,0,0,23,0,0,21,24,0,0,11,243,12,0,12,52,0,0,0,44,57,55,11,0,314,27,0,40,55,0,0,0,33,75,62,0,22
912,1400000US26125175300,"Census Tract 1753, Oakland County, Michigan",43,54,56,12,0,0,8,0,34,51,0,0,240,29,36,71,7,0,0,14,0,49,23,0,11,258,30,94,61,7,12,0,8,0,20,0,26,0
1509,1400000US26125180000,"Census Tract 1800, Oakland County, Michigan",0,0,0,0,20,0,0,0,20,33,43,4,181,0,15,0,18,0,0,5,0,32,22,31,58,183,24,5,0,10,0,0,6,0,10,34,19,75
1020,1400000US26125180100,"Census Tract 1801, Oakland County, Michigan",0,0,0,0,0,0,0,0,11,22,10,86,96,0,0,0,0,0,0,0,0,12,11,10,63,158,0,0,20,0,0,28,0,0,34,11,47,18
849,1400000US26125180200,"Census Tract 1802, Oakland County, Michigan",0,0,0,0,0,17,0,0,64,65,0,45,184,0,0,0,0,19,0,0,0,30,45,14,76,139,0,0,0,0,29,0,0,0,42,42,0,26
43,1400000US26125180300,"Census Tract 1803, Oakland County, Michigan",11,0,15,0,0,0,0,0,13,17,28,63,116,0,0,35,0,0,3,0,0,0,10,29,39,143,0,0,32,0,0,0,24,0,18,0,54,15
640,1400000US26125181000,"Census Tract 1810, Oakland County, Michigan",4,0,0,73,0,0,0,0,52,16,0,0,127,0,0,0,33,0,0,0,0,0,18,20,56,161,43,0,0,0,67,0,0,16,0,0,35,0
913,1400000US26125181100,"Census Tract 1811, Oakland County, Michigan",32,0,0,0,0,0,0,0,17,47,11,58,170,39,0,6,0,0,0,15,0,28,54,11,17,152,0,0,12,0,0,0,0,0,63,37,10,30
526,1400000US26125181200,"Census Tract 1812, Oakland County, Michigan",44,93,0,0,0,0,0,0,16,89,41,0,415,45,74,12,26,0,0,16,0,32,98,45,67,468,23,64,12,27,0,27,0,0,38,181,76,20
684,1400000US26125181300,"Census Tract 1813, Oakland County, Michigan",15,44,36,150,0,64,0,13,74,17,34,70,420,0,0,0,47,16,63,0,0,90,73,0,131,330,0,0,0,19,32,55,0,0,72,58,45,49
850,1400000US26125181400,"Census Tract 1814, Oakland County, Michigan",14,0,0,29,0,19,18,0,62,0,7,23,199,0,0,0,0,64,0,0,22,50,63,0,0,152,6,0,0,0,0,18,0,23,0,50,6,49
1656,1400000US26125181500,"Census Tract 1815, Oakland County, Michigan",0,0,25,0,14,9,0,0,48,17,6,23,163,0,0,24,34,0,0,22,6,9,15,0,53,117,16,9,13,10,8,0,23,16,22,0,0,0
1522,1400000US26125181600,"Census Tract 1816, Oakland County, Michigan",0,156,302,12,0,28,0,39,16,36,0,39,310,51,109,59,0,0,0,0,14,0,58,19,0,328,116,69,0,10,32,0,0,43,44,14,0,0
641,1400000US26125183000,"Census Tract 1830, Oakland County, Michigan",0,0,0,0,0,0,0,0,46,30,0,22,137,0,0,62,0,0,0,0,0,0,0,23,52,115,0,0,0,44,0,0,0,0,30,0,0,41
851,1400000US26125183100,"Census Tract 1831, Oakland County, Michigan",0,0,0,0,0,41,0,0,57,67,92,117,236,6,0,0,0,16,0,0,0,59,65,47,43,206,0,0,0,0,10,0,0,0,0,102,11,83
852,1400000US26125183200,"Census Tract 1832, Oakland County, Michigan",0,0,0,0,86,0,0,7,30,13,58,90,142,0,0,11,0,18,0,0,7,66,0,15,25,59,0,0,11,0,0,9,0,0,20,10,0,9
914,1400000US26125183300,"Census Tract 1833, Oakland County, Michigan",0,13,0,0,0,0,0,0,17,10,20,76,206,0,0,0,0,0,0,0,0,89,70,30,17,124,0,0,0,0,0,0,0,0,9,25,58,32
1510,1400000US26125183400,"Census Tract 1834, Oakland County, Michigan",10,0,28,0,0,0,0,0,27,22,0,109,70,5,0,14,0,0,0,0,0,0,0,7,44,81,8,0,0,0,0,0,0,0,16,0,8,49
853,1400000US26125183500,"Census Tract 1835, Oakland County, Michigan",22,0,0,0,30,10,0,0,29,8,23,70,135,0,11,0,0,0,0,0,0,19,0,53,52,68,0,0,7,0,0,0,0,0,40,7,0,14
854,1400000US26125183600,"Census Tract 1836, Oakland County, Michigan",0,32,0,0,0,7,0,0,0,61,37,144,228,0,0,12,0,0,0,0,0,8,59,71,78,278,0,0,0,0,0,0,0,15,22,16,64,161
855,1400000US26125183700,"Census Tract 1837, Oakland County, Michigan",0,11,0,0,0,0,0,0,15,0,61,240,278,13,0,0,0,0,0,0,0,30,25,18,192,211,14,0,0,0,0,16,0,0,32,67,34,48
915,1400000US26125183800,"Census Tract 1838, Oakland County, Michigan",17,0,0,0,0,0,0,0,0,0,96,99,202,36,0,0,0,0,0,0,20,0,19,127,0,321,0,0,49,0,0,43,0,0,0,0,70,159
